Batch_ID,Product_ID,Manufacture_Date,Label_Expiry_Date,Delivered_Date,Lead_Time_Days,Country,Shipment_Mode,Manufacturing_Site,Quantity,Weight_kg,Freight_Cost_USD
BATCH-00186,ARV-005,2025-06-19,2027-06-19,2025-08-03,12,Guyana,Air,ABBVIE (Abbott) Logis. UK,141,225.0,1831.83
BATCH-00187,ARV-025,2025-08-03,2027-08-03,2025-09-07,7,Côte d'Ivoire,Air,"MSD, Haarlem, NL",1015,257.0,1167.97
BATCH-00188,ARV-001,2026-03-29,2028-03-28,2026-05-11,16,Côte d'Ivoire,Truck,"Cipla, Goa, India",14996,33428.0,49314.37
BATCH-00189,ARV-025,2025-03-31,2027-03-31,2025-06-04,9,Mozambique,Air,"MSD, Haarlem, NL",616,227.0,1943.05
BATCH-00190,ARV-015,2026-03-07,2028-03-06,2026-03-27,10,Guyana,Air,"Aurobindo Unit III, India",2158,196.0,3009.33
BATCH-00191,HRDT-001,2024-10-30,2026-10-30,2025-01-01,16,Zambia,Air,ABBVIE GmbH & Co.KG Wiesbaden,500,171.0,1187.19
BATCH-00192,ARV-001,2025-07-11,2027-07-11,2025-10-19,47,South Africa,Ocean,"Aurobindo Unit III, India",54768,3237.0,10923.46
BATCH-00193,ARV-005,2025-12-18,2027-12-18,2026-02-12,15,"Congo, DRC",Air,ABBVIE (Abbott) Logis. UK,184,288.0,460.91
BATCH-00194,ARV-008,2026-03-23,2028-03-22,2026-05-03,15,Rwanda,Truck,"Aurobindo Unit III, India",2966,1067.0,6310.4
BATCH-00195,ARV-017,2026-01-31,2028-01-31,2026-03-15,30,Tanzania,Truck,Mylan (formerly Matrix) Nashik,43479,4874.0,12435.18
BATCH-00196,ARV-010,2025-10-02,2027-10-02,2025-12-11,28,Rwanda,Ocean,Mylan (formerly Matrix) Nashik,131704,10116.0,24250.15
BATCH-00197,HRDT-002,2025-09-16,2027-09-16,2025-10-26,10,Rwanda,Air,"Trinity Biotech, Plc",873,296.0,6318.92
BATCH-00198,ARV-008,2026-02-14,2028-02-14,2026-03-08,9,Côte d'Ivoire,Truck,"Aurobindo Unit III, India",6750,4919.0,17647.73
BATCH-00199,ARV-009,2025-07-19,2027-07-19,2025-09-18,37,South Africa,Ocean,"Aurobindo Unit III, India",120000,11201.0,13084.26
BATCH-00200,ARV-002,2025-06-18,2027-06-18,2025-08-26,12,Nigeria,Air Charter,"Aurobindo Unit III, India",350,40.0,20264.93
BATCH-00201,ARV-005,2026-04-11,2028-04-10,2026-05-11,11,Zambia,Air,ABBVIE (Abbott) Logis. UK,2266,2277.0,13894.08
BATCH-00202,ARV-002,2025-06-02,2027-06-02,2025-07-06,20,Rwanda,Air,Hetero Unit III Hyderabad IN,34500,2044.0,10883.65
BATCH-00203,ARV-002,2025-10-17,2027-10-17,2025-12-11,13,Haiti,Air,"Aurobindo Unit III, India",2891,156.0,1887.58
BATCH-00204,ARV-007,2025-07-11,2027-07-11,2025-08-11,16,Ethiopia,Air,"Aurobindo Unit III, India",5000,196.0,1229.52
BATCH-00205,HRDT-002,2025-01-30,2027-01-30,2025-04-07,12,Zambia,Air,"Trinity Biotech, Plc",6040,2052.0,24689.0
BATCH-00206,ARV-001,2025-01-18,2027-01-18,2025-03-20,9,Zimbabwe,Air,"Cipla, Goa, India",1860,4091.0,12130.9
BATCH-00207,ARV-006,2025-08-27,2027-08-27,2025-11-11,17,"Congo, DRC",Air,Hetero Unit III Hyderabad IN,43,2.0,91.42
BATCH-00208,ARV-002,2025-09-22,2027-09-22,2025-12-07,21,Rwanda,Air,"Aurobindo Unit III, India",26441,2520.0,25593.87
BATCH-00209,ARV-009,2025-08-12,2027-08-12,2025-10-03,34,South Africa,Ocean,"Cipla, Goa, India",113000,7569.0,11986.59
BATCH-00210,ARV-002,2025-07-04,2027-07-04,2025-08-07,18,Tanzania,Air,"Cipla, Goa, India",20124,2262.0,10536.12
BATCH-00211,ARV-001,2026-01-03,2028-01-03,2026-02-08,13,Zimbabwe,Truck,"Strides, Bangalore, India.",1000,68.0,1004.86
BATCH-00212,ARV-010,2025-11-24,2027-11-24,2026-01-17,24,Uganda,Truck,"Aurobindo Unit VII, IN",26940,2517.0,11803.13
BATCH-00213,ARV-005,2025-09-01,2027-09-01,2025-11-11,18,Haiti,Air,ABBVIE Ludwigshafen Germany,360,46.0,984.39
BATCH-00214,ARV-011,2025-11-08,2027-11-08,2026-01-09,17,Zimbabwe,Truck,Mylan (formerly Matrix) Nashik,40320,4536.0,29733.53
BATCH-00215,ARV-004,2025-08-29,2027-08-29,2025-11-01,24,Uganda,Truck,"Aurobindo Unit III, India",4226,8.0,10891.66
BATCH-00216,HRDT-002,2025-08-19,2027-08-19,2025-10-20,9,Kenya,Air,"Trinity Biotech, Plc",1500,499.0,4976.33
BATCH-00217,ARV-003,2026-01-23,2028-01-23,2026-03-07,3,Nigeria,Air Charter,"Cipla, Goa, India",15,5416.0,29674.92
BATCH-00218,ARV-017,2025-09-10,2027-09-10,2025-10-14,9,Tanzania,Truck,Mylan (formerly Matrix) Nashik,40337,4560.0,1047.17
BATCH-00219,HRDT-001,2026-01-03,2028-01-03,2026-02-11,12,Nigeria,Air,"Alere Medical Co., Ltd.",3056,1241.0,20602.3
BATCH-00220,ARV-005,2026-02-05,2028-02-05,2026-04-07,28,Mozambique,Truck,ABBVIE Ludwigshafen Germany,49000,11107.0,5982.43
BATCH-00221,ARV-002,2025-09-26,2027-09-26,2025-11-03,29,South Africa,Ocean,"Cipla, Goa, India",57925,6220.0,7175.28
BATCH-00222,ARV-006,2025-12-14,2027-12-14,2026-02-14,17,Côte d'Ivoire,Truck,"Strides, Bangalore, India.",1700,75.0,1556.99
BATCH-00223,ARV-001,2025-09-19,2027-09-19,2025-11-14,16,Côte d'Ivoire,Air,"MSD, Haarlem, NL",2052,605.0,1416.03
BATCH-00224,ARV-005,2025-06-18,2027-06-18,2025-08-10,8,Vietnam,Air,ABBVIE Ludwigshafen Germany,1010,255.0,8227.99
BATCH-00225,ARV-001,2025-09-13,2027-09-13,2025-10-27,10,Nigeria,Air Charter,"Strides, Bangalore, India.",15802,1086.0,15322.73
BATCH-00226,HRDT-002,2025-11-15,2027-11-15,2026-01-12,10,Tanzania,Air,"Trinity Biotech, Plc",8460,2753.0,25485.81
BATCH-00227,ARV-024,2025-07-20,2027-07-20,2025-10-03,18,Tanzania,Air,Bristol-Myers Squibb Anagni IT,6357,1272.0,10816.49
BATCH-00228,ARV-013,2024-12-13,2026-12-13,2025-02-01,14,Vietnam,Air,"Strides, Bangalore, India.",95500,9170.0,42453.21
BATCH-00229,ARV-005,2026-01-16,2028-01-16,2026-02-28,14,Haiti,Air,ABBVIE (Abbott) Logis. UK,10,38.0,1347.0
BATCH-00230,ARV-015,2025-04-28,2027-04-28,2025-05-16,8,Nigeria,Air,"Aspen-OSD, Port Elizabeth, SA",32696,2873.0,7363.73
BATCH-00231,ARV-004,2025-06-01,2027-06-01,2025-08-05,18,Zambia,Truck,Hetero Unit III Hyderabad IN,100000,8544.0,11054.56
BATCH-00232,ARV-005,2025-12-24,2027-12-24,2026-03-07,19,Côte d'Ivoire,Air,ABBVIE (Abbott) Logis. UK,600,554.0,5848.39
BATCH-00233,HRDT-003,2025-02-02,2027-02-02,2025-03-22,5,Rwanda,Air,Inverness Japan,1500,340.0,9479.89
BATCH-00234,HRDT-002,2025-11-06,2027-11-06,2026-01-14,17,South Sudan,Air,"Trinity Biotech, Plc",52,24.0,1170.36
BATCH-00235,ARV-017,2025-10-28,2027-10-28,2026-01-06,18,Zambia,Truck,"Cipla, Goa, India",100000,10442.0,11520.85
BATCH-00236,HRDT-002,2025-11-18,2027-11-18,2026-01-22,17,Guyana,Air,"Trinity Biotech, Plc",3140,1024.0,10304.62
BATCH-00237,ARV-002,2025-09-16,2027-09-16,2025-10-27,9,Nigeria,Air Charter,Hetero Unit III Hyderabad IN,60000,9746.0,15322.73
BATCH-00238,HRDT-002,2025-06-10,2027-06-10,2025-07-02,12,Tanzania,Air,"Trinity Biotech, Plc",670,234.0,3163.87
BATCH-00239,ARV-008,2025-09-19,2027-09-19,2025-10-30,36,South Africa,Ocean,GSK Mississauga (Canada),10000,3853.0,4228.61
BATCH-00240,ARV-001,2026-01-05,2028-01-05,2026-02-05,15,Guyana,Air,"Strides, Bangalore, India.",71,395.0,1303.0
BATCH-00241,ARV-013,2025-02-01,2027-02-01,2025-03-08,7,Nigeria,Air,"Aurobindo Unit III, India",1500,178.0,1621.0
BATCH-00242,HRDT-001,2025-05-01,2027-05-01,2025-06-29,14,Zambia,Air,Inverness Japan,2000,590.0,5962.58
BATCH-00243,ARV-006,2026-04-10,2028-04-09,2026-05-16,6,Vietnam,Air,Hetero Unit III Hyderabad IN,15400,2486.0,3775.5
BATCH-00244,HRDT-013,2025-06-15,2027-06-15,2025-07-07,16,Tanzania,Air,"Standard Diagnostics, Korea",9720,3240.0,36096.76
BATCH-00245,ARV-003,2025-02-10,2027-02-10,2025-03-13,15,Nigeria,Air,"Aurobindo Unit III, India",12984,3286.0,18208.0
BATCH-00246,ARV-005,2026-01-17,2028-01-17,2026-03-22,6,Ghana,Air,"Aurobindo Unit III, India",3393,915.0,6006.37
BATCH-00247,ARV-005,2025-06-17,2027-06-17,2025-09-01,17,Rwanda,Air,Cipla Ltd A-42 MIDC Mahar. IN,7634,2386.0,1398.0
BATCH-00248,ARV-017,2025-12-25,2027-12-25,2026-02-27,39,Zambia,Ocean,"Aurobindo Unit VII, IN",77654,8725.0,54417.75
BATCH-00249,ARV-025,2025-04-26,2027-04-26,2025-07-02,18,Uganda,Air,"MSD, Haarlem, NL",48,11.0,48.0
BATCH-00250,ARV-005,2026-01-04,2028-01-04,2026-02-22,5,Rwanda,Air,ABBVIE Ludwigshafen Germany,500,65.0,985.26
BATCH-00251,ARV-004,2025-09-30,2027-09-30,2025-12-03,8,Rwanda,Air,"Aurobindo Unit III, India",29880,2699.0,16152.0
BATCH-00252,ARV-001,2025-07-27,2027-07-27,2025-10-01,13,Côte d'Ivoire,Air,"MSD, Haarlem, NL",5196,1489.0,2093.31
BATCH-00253,ARV-013,2025-03-05,2027-03-05,2025-04-21,8,Haiti,Air,"Aurobindo Unit III, India",1500,235.0,3022.74
BATCH-00254,ARV-001,2025-05-16,2027-05-16,2025-06-21,10,Côte d'Ivoire,Air,"Aurobindo Unit III, India",15000,1582.0,6037.19
BATCH-00255,ARV-003,2026-02-12,2028-02-12,2026-04-08,16,Ghana,Air,"Aurobindo Unit III, India",29107,3647.0,18545.17
BATCH-00256,ARV-018,2026-03-23,2028-03-22,2026-05-14,30,Haiti,Ocean,Mylan (formerly Matrix) Nashik,3300,16350.0,16028.78
BATCH-00257,ARV-002,2025-07-23,2027-07-23,2025-09-01,16,Côte d'Ivoire,Air,"Strides, Bangalore, India.",233,1161.0,7826.75
BATCH-00258,ARV-002,2025-03-22,2027-03-22,2025-05-08,9,Zambia,Truck,Hetero Unit III Hyderabad IN,44432,2503.0,3629.37
BATCH-00259,ARV-006,2025-02-23,2027-02-23,2025-04-11,11,Nigeria,Truck,"Aurobindo Unit III, India",1000,346.0,1988.9
BATCH-00260,ARV-002,2025-03-19,2027-03-19,2025-05-08,14,Vietnam,Air,"Aurobindo Unit III, India",6000,581.0,2653.27
BATCH-00261,HRDT-006,2026-01-19,2028-01-19,2026-03-04,18,Rwanda,Air,"KHB Test Kit Facility, Shanghai China",2988,1992.0,26266.34
BATCH-00262,ARV-007,2025-03-13,2027-03-13,2025-04-16,7,Uganda,Air,"Aurobindo Unit III, India",4296,1600.0,10314.28
BATCH-00263,ARV-003,2026-02-13,2028-02-13,2026-03-04,14,Zimbabwe,Truck,Mylan (formerly Matrix) Nashik,290000,16192.0,18090.64
BATCH-00264,ARV-007,2025-07-04,2027-07-04,2025-08-31,20,South Africa,Air,"Aurobindo Unit III, India",8366,458.0,1697.9
BATCH-00265,ARV-007,2025-01-18,2027-01-18,2025-03-16,21,Ethiopia,Air,"Aurobindo Unit III, India",1926,807.0,2511.67
BATCH-00266,HRDT-002,2025-12-25,2027-12-25,2026-03-05,14,"Congo, DRC",Air,"Trinity Biotech, Plc",32,54.0,2734.02
BATCH-00267,ARV-005,2025-11-07,2027-11-07,2025-12-21,12,Vietnam,Air,ABBVIE Ludwigshafen Germany,396,53.0,439.17
BATCH-00268,HRDT-005,2025-01-26,2027-01-26,2025-03-07,10,Tanzania,Air,"Standard Diagnostics, Korea",10000,3336.0,28837.28
BATCH-00269,ARV-012,2025-08-26,2027-08-26,2025-09-24,21,Zimbabwe,Truck,"Cipla, Goa, India",88719,11668.0,15697.15
BATCH-00270,ARV-002,2025-03-29,2027-03-29,2025-04-28,15,Zambia,Air,"Aurobindo Unit III, India",9408,893.0,6269.7
BATCH-00271,HRDT-001,2025-12-04,2027-12-04,2026-01-06,10,Nigeria,Air,"Alere Medical Co., Ltd.",2880,1249.0,26380.35
BATCH-00272,ARV-003,2025-12-29,2027-12-29,2026-01-30,7,Côte d'Ivoire,Truck,Mylan (formerly Matrix) Nashik,7600,415.0,2751.09
BATCH-00273,ARV-015,2025-09-24,2027-09-24,2025-10-28,10,Zambia,Truck,Mylan (formerly Matrix) Nashik,113925,9875.0,14325.71
BATCH-00274,ARV-008,2025-03-21,2027-03-21,2025-05-07,21,Vietnam,Air,"Aurobindo Unit III, India",880,331.0,2771.84
BATCH-00275,HRDT-004,2024-12-22,2026-12-22,2025-02-19,12,Nigeria,Air,Chembio Diagnostics Sys. Inc.,10000,3045.0,28118.58
BATCH-00276,ARV-006,2025-06-16,2027-06-16,2025-07-11,13,Uganda,Air,"Aurobindo Unit III, India",6985,336.0,2528.69
BATCH-00277,ARV-009,2025-10-22,2027-10-22,2025-11-26,12,Libya,Air,"Aurobindo Unit III, India",2816,231.0,1474.9
BATCH-00278,ARV-002,2025-06-18,2027-06-18,2025-08-23,53,South Africa,Ocean,"Strides, Bangalore, India.",116000,7193.0,8559.24
BATCH-00279,ARV-005,2026-03-09,2028-03-08,2026-04-07,8,Mozambique,Truck,"Aurobindo Unit III, India",14480,7039.0,5192.68
BATCH-00280,ARV-005,2026-02-19,2028-02-19,2026-04-08,6,Uganda,Air,ABBVIE Ludwigshafen Germany,724,82.0,1042.36
BATCH-00281,ARV-005,2026-02-09,2028-02-09,2026-02-25,9,Côte d'Ivoire,Air,ABBVIE Ludwigshafen Germany,4600,535.0,5924.33
BATCH-00282,ARV-025,2025-07-13,2027-07-13,2025-08-18,13,Côte d'Ivoire,Air,"MSD, Haarlem, NL",1000,254.0,881.33
BATCH-00283,HRDT-005,2025-03-06,2027-03-06,2025-04-04,23,Zimbabwe,Truck,"Standard Diagnostics, Korea",5693,1740.0,8008.65
BATCH-00284,HRDT-001,2025-11-08,2027-11-08,2026-01-17,13,Côte d'Ivoire,Air,"Alere Medical Co., Ltd.",2954,1284.0,125.42
BATCH-00285,ARV-003,2026-01-21,2028-01-21,2026-03-23,17,Mozambique,Truck,"Cipla, Goa, India",74623,10073.0,7048.57
BATCH-00286,ARV-004,2025-11-22,2027-11-22,2025-12-30,20,Vietnam,Air,Mylan (formerly Matrix) Nashik,3434,876.0,2183.92
BATCH-00287,ARV-023,2026-01-21,2028-01-21,2026-02-12,7,Uganda,Air,"Aspen-OSD, Port Elizabeth, SA",841,169.0,359.53
BATCH-00288,ARV-016,2026-03-08,2028-03-07,2026-04-07,20,Mozambique,Truck,"Strides, Bangalore, India.",26700,1307.0,1482.7
BATCH-00289,ARV-002,2026-01-27,2028-01-27,2026-03-19,20,Zimbabwe,Truck,"Micro labs, Verna, Goa, India",100000,64918.0,43218.07
BATCH-00290,HRDT-005,2025-02-15,2027-02-15,2025-04-15,13,Zimbabwe,Air,"Standard Diagnostics, Korea",9700,2907.0,12781.58
BATCH-00291,ARV-005,2025-11-23,2027-11-23,2026-01-17,18,Haiti,Air,ABBVIE (Abbott) Logis. UK,100,164.0,2419.33
BATCH-00292,HRDT-008,2024-12-26,2026-12-26,2025-02-26,9,Haiti,Air,"Pacific Biotech, Thailand",25,60.0,3097.85
BATCH-00293,ARV-005,2025-04-07,2027-04-07,2025-05-21,21,Tanzania,Air,ABBVIE Ludwigshafen Germany,12500,3088.0,12937.16
BATCH-00294,ARV-002,2025-07-04,2027-07-04,2025-07-30,6,Nigeria,Air Charter,"Aurobindo Unit III, India",15299,1792.0,9736.1
BATCH-00295,ARV-003,2025-09-02,2027-09-02,2025-10-17,14,Côte d'Ivoire,Air,"Aurobindo Unit III, India",12169,7916.0,21397.38
BATCH-00296,HRDT-001,2026-03-27,2028-03-26,2026-04-25,13,Uganda,Air,"Alere Medical Co., Ltd.",4872,1978.0,16876.25
BATCH-00297,ARV-001,2025-06-07,2027-06-07,2025-08-23,19,Uganda,Air,Mylan (formerly Matrix) Nashik,27304,13087.0,56372.66
BATCH-00298,ARV-001,2025-12-04,2027-12-04,2026-01-05,17,Zimbabwe,Truck,"Hetero, Jadcherla, unit 5, IN",4800,3082.0,9405.8
BATCH-00299,ARV-005,2025-11-30,2027-11-30,2026-01-09,9,Vietnam,Air,ABBVIE Ludwigshafen Germany,4164,992.0,3212.25
BATCH-00300,HRDT-001,2025-09-03,2027-09-03,2025-10-11,5,Côte d'Ivoire,Air,Inverness Japan,494,240.0,7681.19
BATCH-00301,HRDT-001,2025-07-11,2027-07-11,2025-07-30,11,Zimbabwe,Air,Inverness Japan,1845,1000.0,18841.09
BATCH-00302,ARV-019,2025-08-10,2027-08-10,2025-09-28,19,Nigeria,Air,ABBVIE Ludwigshafen Germany,448,68.0,1123.14
BATCH-00303,ARV-005,2025-09-02,2027-09-02,2025-10-07,5,Haiti,Air,ABBVIE (Abbott) Logis. UK,90,126.0,1767.91
BATCH-00304,ARV-004,2026-02-09,2028-02-09,2026-03-11,11,Nigeria,Air Charter,Mylan (formerly Matrix) Nashik,92125,7982.0,45180.63
BATCH-00305,ARV-011,2025-11-27,2027-11-27,2025-12-23,14,Cameroon,Air,Mylan (formerly Matrix) Nashik,26204,3176.0,27939.91
BATCH-00306,ARV-001,2025-07-26,2027-07-26,2025-08-09,7,Uganda,Air,Mylan (formerly Matrix) Nashik,950,76.0,1017.15
BATCH-00307,ARV-016,2026-04-06,2028-04-05,2026-04-25,14,Mozambique,Truck,Hetero Unit III Hyderabad IN,7442,12408.0,15645.33
BATCH-00308,HRDT-002,2025-06-17,2027-06-17,2025-08-01,14,Botswana,Air,"Trinity Biotech, Plc",25,10.0,559.89
BATCH-00309,ARV-014,2025-07-24,2027-07-24,2025-08-12,10,Vietnam,Air,"Aurobindo Unit III, India",168,2046.0,14405.31
BATCH-00310,HRDT-001,2025-08-26,2027-08-26,2025-10-28,6,Zimbabwe,Air,"Alere Medical Co., Ltd.",1800,885.0,17806.34
BATCH-00311,ARV-002,2025-08-25,2027-08-25,2025-09-28,16,Zambia,Air,"Aurobindo Unit III, India",10000,3637.0,9499.46
BATCH-00312,ARV-003,2025-08-17,2027-08-17,2025-10-12,16,Côte d'Ivoire,Air,Mylan (formerly Matrix) Nashik,160058,26409.0,60432.88
BATCH-00313,ARV-002,2025-01-16,2027-01-16,2025-03-06,7,Vietnam,Air,"Aurobindo Unit III, India",1000,941.0,4193.49
BATCH-00314,ARV-006,2025-05-17,2027-05-17,2025-06-27,9,Côte d'Ivoire,Air,"Aurobindo Unit III, India",819,284.0,1668.76
BATCH-00315,HRDT-001,2024-11-12,2026-11-12,2025-01-13,9,Côte d'Ivoire,Air,ABBVIE GmbH & Co.KG Wiesbaden,850,291096.0,156.97
BATCH-00316,ARV-003,2026-02-12,2028-02-12,2026-03-11,16,Haiti,Air,"Strides, Bangalore, India.",2581,110.0,1955.22
BATCH-00317,ARV-009,2025-06-26,2027-06-26,2025-07-30,17,Vietnam,Air,Mylan (formerly Matrix) Nashik,4536,266.0,3678.45
BATCH-00318,ARV-012,2025-04-16,2027-04-16,2025-05-21,17,Mozambique,Air,"Strides, Bangalore, India.",32067,2382.0,3671.92
BATCH-00319,ARV-006,2025-11-06,2027-11-06,2025-11-30,12,Nigeria,Air Charter,Hetero Unit III Hyderabad IN,10020,645.0,16532.5
BATCH-00320,ARV-012,2025-09-29,2027-09-29,2025-11-14,25,Zambia,Truck,"Strides, Bangalore, India.",50000,10381.0,8510.81
BATCH-00321,ARV-009,2025-08-25,2027-08-25,2025-10-22,36,South Africa,Ocean,"Cipla, Goa, India",113000,7663.0,9560.03
BATCH-00322,HRDT-001,2025-04-26,2027-04-26,2025-06-18,6,Nigeria,Air,Inverness Japan,6395,1915.0,24514.33
BATCH-00323,HRDT-004,2025-11-26,2027-11-26,2026-01-01,15,Côte d'Ivoire,Air,Chembio Diagnostics Sys. Inc.,2424,621.0,7811.66
BATCH-00324,ARV-005,2025-04-25,2027-04-25,2025-07-07,20,Haiti,Air,ABBVIE Ludwigshafen Germany,45,13.0,928.11
BATCH-00325,ARV-015,2025-09-02,2027-09-02,2025-11-09,21,Zambia,Air,"Aurobindo Unit III, India",100000,9390.0,45118.64
BATCH-00326,HRDT-002,2025-07-31,2027-07-31,2025-10-01,8,Sudan,Air,"Trinity Biotech, Plc",207,71.0,1626.67
BATCH-00327,ARV-028,2025-01-30,2027-01-30,2025-02-18,9,Mozambique,Air,GSK Ware (UK),1019,138.0,439.17
BATCH-00328,HRDT-006,2026-02-19,2028-02-19,2026-04-24,5,Rwanda,Air,"KHB Test Kit Facility, Shanghai China",4014,2676.0,35281.73
BATCH-00329,ARV-004,2025-12-03,2027-12-03,2026-01-14,4,Nigeria,Air Charter,"Aurobindo Unit III, India",35000,12877.0,20666.07
BATCH-00330,ARV-003,2025-09-16,2027-09-16,2025-11-22,8,Nigeria,Air Charter,"Aurobindo Unit III, India",220000,28776.0,17090.0
BATCH-00331,ARV-002,2025-06-29,2027-06-29,2025-08-06,14,Côte d'Ivoire,Air,"Strides, Bangalore, India.",12000,733.0,5121.68
BATCH-00332,ARV-011,2025-11-30,2027-11-30,2026-02-06,11,Vietnam,Air,Mylan (formerly Matrix) Nashik,11500,1295.0,2021.05
BATCH-00333,HRDT-006,2026-01-29,2028-01-29,2026-03-17,10,Rwanda,Air,"KHB Test Kit Facility, Shanghai China",4156,2771.0,36502.8
BATCH-00334,ARV-003,2025-02-07,2027-02-07,2025-03-06,19,Vietnam,Air,"Aurobindo Unit III, India",3000,332.0,4454.62
BATCH-00335,HRDT-006,2025-10-28,2027-10-28,2025-12-06,12,Ethiopia,Air,"KHB Test Kit Facility, Shanghai China",25004,17367.0,161962.32
BATCH-00336,ARV-002,2026-01-07,2028-01-07,2026-02-14,26,Zambia,Truck,Hetero Unit III Hyderabad IN,180892,6502.0,34400.04
BATCH-00337,ARV-019,2025-09-28,2027-09-28,2025-12-14,21,Vietnam,Air,ABBVIE Ludwigshafen Germany,326,34.0,404.78
BATCH-00338,ARV-006,2026-04-02,2028-04-01,2026-05-07,14,Zambia,Truck,Hetero Unit III Hyderabad IN,68000,6221.0,9341.81
BATCH-00339,ARV-004,2025-10-23,2027-10-23,2025-11-17,8,Burundi,Air,Mylan (formerly Matrix) Nashik,15,5256.0,9506.0
BATCH-00340,ARV-001,2025-10-17,2027-10-17,2025-12-12,21,Tanzania,Air,"Aurobindo Unit III, India",64980,5578.0,18826.62
BATCH-00341,ARV-014,2025-07-31,2027-07-31,2025-09-12,15,Tanzania,Air,"Aurobindo Unit III, India",2292,617.0,1647.0
BATCH-00342,ARV-018,2026-03-14,2028-03-13,2026-04-02,9,Uganda,Air,"Cipla, Patalganga, India",3273,389.0,2786.61
BATCH-00343,ARV-016,2025-01-31,2027-01-31,2025-04-11,21,Zimbabwe,Truck,"Cipla, Goa, India",1600,96.0,2145.17
BATCH-00344,ARV-011,2025-12-18,2027-12-18,2026-02-26,19,Côte d'Ivoire,Truck,Hetero Unit III Hyderabad IN,50510,6766.0,18278.07
BATCH-00345,ARV-013,2025-08-10,2027-08-10,2025-10-14,20,Guyana,Air,"Aurobindo Unit III, India",21,294.0,4338.44
BATCH-00346,HRDT-002,2025-08-27,2027-08-27,2025-11-07,34,Mozambique,Ocean,"Trinity Biotech, Plc",7400,2471.0,33872.84
BATCH-00347,ARV-005,2026-02-28,2028-02-28,2026-04-17,21,Guyana,Air,ABBVIE Ludwigshafen Germany,1184,251.0,3247.35
BATCH-00348,ARV-004,2026-02-25,2028-02-25,2026-04-29,29,Mozambique,Truck,Hetero Unit III Hyderabad IN,139000,12307.0,8191.96
BATCH-00349,ARV-001,2025-11-23,2027-11-23,2026-01-06,11,Mozambique,Truck,"Hetero, Jadcherla, unit 5, IN",38000,3140.0,7733.77
BATCH-00350,ARV-003,2025-12-02,2027-12-02,2025-12-26,10,Mozambique,Truck,"Cipla, Goa, India",84875,18031.0,7433.02
BATCH-00351,ARV-021,2025-06-06,2027-06-06,2025-06-29,14,Mozambique,Air,Roche Basel,168,85.0,1139.5
BATCH-00352,ARV-018,2026-03-12,2028-03-11,2026-04-04,5,Rwanda,Air,"Cipla, Patalganga, India",8953,805.0,6220.48
BATCH-00353,ARV-015,2025-04-28,2027-04-28,2025-06-06,10,Uganda,Air,"Aspen-OSD, Port Elizabeth, SA",260,28.0,1180.71
BATCH-00354,HRDT-002,2025-11-10,2027-11-10,2025-12-05,12,Ethiopia,Air,"Trinity Biotech, Plc",167,60.0,911.32
BATCH-00355,HRDT-001,2025-10-27,2027-10-27,2025-11-27,21,Kenya,Air,"Alere Medical Co., Ltd.",1,985.0,11034.01
BATCH-00356,HRDT-001,2025-11-21,2027-11-21,2026-02-01,21,Pakistan,Air,"Alere Medical Co., Ltd.",4484,1948.0,21689.39
BATCH-00357,ARV-011,2026-02-04,2028-02-04,2026-03-08,7,Vietnam,Air,Hetero Unit III Hyderabad IN,24556,3443.0,6323.76
BATCH-00358,ARV-004,2025-02-11,2027-02-11,2025-04-09,20,Nigeria,Air,"Aurobindo Unit III, India",1887,273.0,2446.58
BATCH-00359,ARV-006,2025-07-13,2027-07-13,2025-09-12,28,South Africa,Ocean,"Aurobindo Unit III, India",130828,6525.0,10984.82
BATCH-00360,ARV-018,2025-10-29,2027-10-29,2026-01-06,24,Zimbabwe,Truck,Mylan (formerly Matrix) Nashik,270,18.0,1100.0
BATCH-00361,ARV-002,2025-05-01,2027-05-01,2025-07-04,19,Uganda,Air,"Aurobindo Unit III, India",10453,1001.0,3228.26
BATCH-00362,HRDT-011,2025-09-26,2027-09-26,2025-11-06,20,Sudan,Air,"Alere Medical Co., Ltd.",3,2.0,1076.15
BATCH-00363,HRDT-003,2025-01-28,2027-01-28,2025-03-28,8,Nigeria,Air,Inverness Japan,3000,861.0,12770.05
BATCH-00364,ARV-010,2026-03-13,2028-03-12,2026-04-18,11,Nigeria,Air Charter,"Cipla, Kurkumbh, India",4,34119.0,69737.0
BATCH-00365,ARV-002,2025-02-13,2027-02-13,2025-04-13,9,Zambia,Truck,Hetero Unit III Hyderabad IN,55560,3224.0,4217.45
BATCH-00366,ARV-017,2025-09-29,2027-09-29,2025-11-14,19,Tanzania,Truck,Mylan (formerly Matrix) Nashik,131280,15032.0,3279.25
BATCH-00367,ARV-006,2026-02-11,2028-02-11,2026-03-12,18,Zambia,Truck,"Micro labs, Verna, Goa, India",10391,633.0,886.11
BATCH-00368,ARV-003,2025-06-23,2027-06-23,2025-08-22,14,Uganda,Truck,"Aurobindo Unit III, India",30000,4050.0,15759.47
BATCH-00369,HRDT-008,2025-08-21,2027-08-21,2025-09-01,5,Haiti,Air,"Orasure Technologies, Inc",85,187.0,3254.23
BATCH-00370,ARV-007,2025-05-06,2027-05-06,2025-07-10,18,Haiti,Air,"Aurobindo Unit III, India",3648,2571.0,26830.44
